Title,Content,Date,Score,Username,Location,Contribution,Travel with,Review of
Lots of food!!!,"Luke was a great food walking tour host! After reviewing the company’s high marks, I booked the tour one-day in advance. I booked a group tour, but our party of 4 were the only guests for the evening. Highly recommend the Hanoi Food Tasting tour. All the locations were a short walk within the old quarter. The 2.5 hours flew by and the walk wasn’t at all tiresome, because of the several stops. We stopped at 8 locations, of varying sizes, trying different dishes and drinks. As an Asian-American from Houston, TX, I’ve had plenty of Vietnamese food, much of it likely American-ized. Despite this, our group enjoyed all the meals throughout the tour. Having Luke with us, allowed us to stop at locations we probably would have been too intimidated to try on our own. But with Luke there, we knew the food would be good and safe to eat. At each location, Luke explained the dish and its relevancy to Vietnamese customs. Luke was also our guide through the old quarter, explaining its history and sharing insight into Hanoian daily life. I highly recommend it!","July 1, 2019",5.0,davidmanjhu,"Saint Louis Park, MN",11,Friends,Hanoi Street Food Tour with local delicacies
Great Authentic Experience,"Trung, our guide, was very enthusiastic and knowledgeable. He took us around and explained every dish as well as the history of Hanoi. I cannot recommend this enough, it  is certainly a must do when you are in Hanoi.","July 1, 2019",5.0,Jean M,"Hertford, UK",5,Couples,Hanoi Street Food Tour with local delicacies
Hanoi tasting tour- includes great street food,We thoroughly enjoyed this food tour made memorable by a very knowledgable guide on all things food & local history. The foods we ate and where they originated from was carefully described which made us enjoy it. We definitely recommend this tour to other travellers.,"June 29, 2019",5.0,allyg,"Wellington, New Zealand",14,,Hanoi Street Food Tour with local delicacies
Best Experience in Hanoi,"Derek (Đuy) was a wonderful guide, we were looking for an authentic experience, having walked past so many small local cooking stations and feeling overwhelmed with amount of choice. Derek took us to 7 different places, tailored to us. We had 2 appetizers, 3 mains and 2 desserts. We were impressed by each one, they were small family businesses that were well established with some quirky features. You may not spot them wandering down the street. Derek explained some histories of specific streets and a little about the culture in Vietnam itself. He also gave us some recommendations for other restaurants and future destinations. Was the best experience we had in Hanoi!","June 29, 2019",5.0,Aislinn R,"Stockholm, Sweden",26,Friends,Hanoi Street Food Tour with local delicacies
Perfect Experience,"My wife and I did the motorbike tour with B and Chris and had an excellent time. They were both a pleasure to be around; on time, courteous, knowledgeable, and very easy to talk to. They took us to some great spots around the city and shared their insight on the local cuisine. I really could not have asked for a better experience and highly recommend both B and Chris.","June 27, 2019",5.0,Craig D,"San Diego, California, United States",2,Couples,Hanoi Sightseeing And Food Tour By Scooter
Amazing street food tour with Kelly,"Kelly picked us up by our hotel and in a group of 4, she showed us the best food to eat in Hanoi, in places we never would have found on our own. Her English is perfect, she had so much to tell us about the city and its cuisine and she was very attentive to our wellbeing in the heat.
              
              She even took into account that we don’t eat meat, despite other places telling us that a vegetarian food tour would be impossible.
              
              An amazing experience we would recommend to anyone!","June 27, 2019",5.0,JulieT97,"Vig, Vestsjalland, Denmark",5,Couples,Hanoi Street Food Tour with local delicacies
Best food tour in Hanoi,"This was one of the best things I did while in Hanoi! B was my priate tour guide and he was phenomenal. Very well educated both in the food and historic culture of Hanoi. My group was small (3 in total) which made the experience much more authentic! We got to try all the 'must haves' when it comes to Vietnamese food and left very full. I can't reccomend this tour enough and if you can B, do it. He was a great local tour guide who genuinely loves what he does!","June 26, 2019",5.0,Tyler Robinson,,1,Friends,Hanoi Street Food Tour with local delicacies
Amazing experience,"We had a private street food tasting tour with Jenny this evening. We have travelled a lot but this evening was by far the best experience we have had. Jenny took us to seven places - sometimes eating outside on the street and sometimes inside. She was very knowledgeable about the foods we ate and told us about the people making the food. Secret recipies handed down through generations; a family cooking a fish dish who restored a temple dedicated to mums and other very interesting anecdotes. We began with Bun Cha. Very delicious! Our favourite was deep fried Spring Rolls made by a husband and wife team whose day begins at 4am going to the market and then cooking from 9am to 9pm.
              
              Anyone can buy street food but you miss out on so much doing it on your own. We learned how to eat it, what to choose depending on our tastes and where to find the best food! Also to really appreciate the Vietnamese culture you need to take a street tour and hear the history of Hanoi and its people.
              
              Jenny was professional but friendly. She was interested in us and very careful to keep us safe in the traffic and ensure we had a great time! I highly reccomend a tour with Jenny.","June 26, 2019",5.0,bernadettecarr,"Newry, UK",17,,Hanoi Street Food Tour with local delicacies
Great Tour,B and Chris did an amazing job showing is the city and we had some delicious food! Definitely recommend the tour!,"June 26, 2019",5.0,T Bachmann,"San Diego, CA",2,Couples,Hanoi Sightseeing And Food Tour By Scooter
Jenny Amazing food tour!,"Jenny was fantastic! Not only did we receive an amazing tour of some brilliant tasting dishes, we received an in sight into some culture and history provided by Jenny. I can not recommend Jenny enough! So happy and my tummy was too!!","June 24, 2019",5.0,@TupouHavea,New Zealand,13,Solo,Hanoi Street Food Tour with local delicacies
Fantastic food tour! Would highly recommend,"We had an incredible tasting tour with our guide, Chris who took us on a food adventure! We stopped at 9 different places, some were sit down restaurants and others were small gems on the side of the street. Chris was informative, fun and always made us feel safe! Be sure to ask for him when booking.
              

              The logistics of the tour were well thought out. Chris picked us up right on time at our hotel and were pleased to find out that the tour consisted of four people in total. The small size of the tour was perfect for getting around Hanoi and allowed us to comfortably fit within each restaurant.
              

              Overall, it exceeded our expectations. Would definitely recommend to friends and family!","June 24, 2019",5.0,Cam S,,1,,Hanoi Street Food Tour with local delicacies
Best food tour ever,We thoroughly enjoyed our evening with Luke our tour guide. He provided lots of information about the history of Hanoi and the names of the food we were eating. He emailed us a thorough list of recommendations which was extremely helpful for the rest of our trip in Hanoi,"June 21, 2019",5.0,Lillian,,3,Couples,Hanoi Street Food Tour with local delicacies
A MUST DO IN HANOI,Luke was nothing but kind and informative on our food tasting tour and took amazing care of us from beginning to end. The tour itself is amazing to get a real feel for Vietnamese food. Everything was delicious I could not pick a favorite!! Go hungry because you will be ready for you’re bed by the end. Definitely recommend.,"June 21, 2019",5.0,Foodlover767,,12,,Hanoi Street Food Tour with local delicacies
Great sampling of different Hanoi foods!,My husband and I and our 8 year old daughter really enjoyed the evening street food tour with Sunflower.  We tried 7 different things (although we were all full after 5) and got to learn a lot about the culture and food from our guide. She helped get us vegetarian options at each location and the food was all terrific.  Our favorite was the egg chocolate since we don't drink coffee.  It was cold and tasted like cake batter!,"June 21, 2019",5.0,agreen08,"Concord, CA",15,,Hanoi Street Food Tour with local delicacies
Great time with Luke!,"Luke was our tour guide and he was a lot of fun. He provided a fun, yet informative tour. We did the night tour and it was a blast! Would again book on my next visit for sure!","June 19, 2019",5.0,rwb4422,Washington,11,Solo,Hanoi Street Food Tour with local delicacies
Awesome tour!,"A fabulous way to sample Vietnamese cuisine! We went to 7 different places and enjoyed all of it. Every place was different and delicious and we would not have found on our own. Our tour guide Luke explained how to eat each dish. We learned about the food, its history, and how it became popular. The insight into Vietnamese culture and history was appreciated.","June 18, 2019",5.0,heytweedy,"Honolulu, HI",21,Family,
Be a local,This food tour was great full of good local street food from family run food stalls that we wouldn't have tried on our own.  We also recieved some Hanoi history and ventured through many streets that we wouldn't have explored on our own.  Luke was a great guide that spoke English well and was very personable!  Glad we booked this tour! These were my three favorite things we ate!,"June 18, 2019",5.0,Tracie,,4,Family,Hanoi Street Food Tour with local delicacies
Great tour,Our guide Luke was great! We had great food and drinks!! Highly recommend this tour. Great introduction to the food scene!,"June 16, 2019",5.0,Jemma L,,9,,
Wonderful night!,"My friend and I went on the food tour last night with Chris. He was not only a GREAT tour guide but he was very well educated and had worked with dignitaries when they visited Hanoi from the United States. He was very personable and took us to the best of the best places for authentic Hanoi food. He also gave us information about the lifestyles of the people of the old quarter and took us behind the scenes through alleys connecting houses and families. That's something above and beyond! My traveling companion has a disability and he was very sensitive and helpful. We had a delightful evening. Thank you VERY much, Chris! I highly recommend you!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  Johanna Hughes","June 16, 2019",5.0,MurmuringSurf,"Al Ain, United Arab Emirates",17,Couples,Hanoi Street Food Tour with local delicacies
Amazing food tour,Our guide Luke took us around some of his favourite spots in Hanoi to provide us with an amazing street food experience. Throughout the tour Luke told us about the history of some of the food dishes which was great! An overall amazing experience that I couldn’t recommend enough,"June 15, 2019",5.0,Aneesh,,1,Family,
AMAZING,"Our guide, B, is awesome! He is energetic, informative, and introduced us to some of the most amazing food we’ve ever eaten. Our son has a peanut allergy and B made sure we had no problems. We had many wonderful conversations with our fellow diners and B - we would do this again in a heartbeat!","June 15, 2019",5.0,mds2124,"Littleton, CO",9,Family,Hanoi Street Food Tour with local delicacies
Hanoi food street tour with B,I am glad that I have the opportunity to hang out with B during my food street tour. He has deep knowledge about the local food and provides insights for local culture. The tour group is small and just right. Although it's just a short 4 hours tour but I enjoy it a lot.,"June 14, 2019",5.0,Kyeo,,1,Friends,Hanoi Street Food Tour with local delicacies
Awesome tour,"The guide “B” was very knowledgeable and explained all the cuisine in a great way. I was joined but a lady from Australia and a gentleman from Singapore, B made sure everyone was comfortable and safe and most importantly kept us full!","June 14, 2019",5.0,Courtney Douglas,"Porto, Portugal",11,,Hanoi Street Food Tour with local delicacies
Hanoi food tour,Our guide B was amazing!!! We found so many little hidden gems and I am sooo full. Could not recommenced this tour and him enough. Great way to start my trip in Hanoi.,"June 14, 2019",5.0,Natalie O,,2,Solo,Hanoi Street Food Tour with local delicacies
Exceptional Street Food Tour with Chris!!!,"We had one of the most amazing food tours with Chris in the evening! He showed us great places with truly authentic delicious food. Chris introduced us also to the history connected to food and streets and showed us very exciting hidden corners which one wouldn´t find just like that. Amazing that he also told us the recipies. The tour was truly adventurous. I enjoyed his enthusiasm and knowledge about food and history, the country and how open and interested he is also in other cultures and ones own story. We had some really good talks and enjoyed it alltogether.","June 13, 2019",5.0,Maja D,,1,Solo,Hanoi Street Food Tour with local delicacies
Best Experience,"Booking our Hanoi Tasting Tour was the best decision we did during our trip, not only did we get to know the city via our taste buds but we saw the character of the city through our knowledgeable tour guide Luke. He guided us every step of the way making sure to explain the food we are to eat, the history of the country, the culture and so much more. Luke even went out of his way to bring us to an egg coffee place even if the tour was over. His recommendation for the egg coffee was superb! Two thumbs up!","June 13, 2019",5.0,Rosie,,1,Friends,Hanoi Street Food Tour with local delicacies
Amazing guide!,Our guide Luke was extremely knowledgable about every place we visited and made sure beforehand what kind of foods we wanted to try. Everything we ate was fantastic and Luke even went the extra mile by sending us a whole itinery of 20 more street food vendors to try. Would highly recommend this tour to anyone just arriving into Hanoi!,"June 12, 2019",5.0,Charlie,,1,Friends,Hanoi Street Food Tour with local delicacies
Best food tour with Jenny,This is the best thing we did in Hanoi. Our tour guide Jenny also really made the tour the best. She brought us to try a bit of everything and all the best dishes in Hanoi and the best places to try them. She made everything so easy and made sure we were well taken care of. She also was the sweetest and made us laugh. I highly recommend if you want to see the street food scene but are a bit intimidated by all the choices do this tour and with Jenny!,"June 10, 2019",5.0,LMGLau,,2,Friends,Hanoi Street Food Tour with local delicacies
Hanoi Street Food Tour,"This really is a must do tour, our guide Duy (aka Derek) was excellent, full of information and a good sense of humour.
              
              We went to places that we wouldn’t have found on our own and the food was superb and plentiful (5 savoury dishes and two dessert).
              
              4/6/19","June 8, 2019",5.0,Mark Newton,"Cardiff, United Kingdom",2,Couples,
Amazing street food tour with Luke,"Luke is a fantastic tour guide, incredibly knowledgeable about Hanoi food and his English is excellent. He took into account different food tastes and made sure to cater for everyone on the tour. Highly recommended and 5 stars to Luke.","June 7, 2019",5.0,margie_dxb,,5,Solo,Hanoi Street Food Tour with local delicacies
Fantastic Experience,"Had a really excellent experience with B and a few other travelers. I went on this tour on my first day in Hanoi, and it helped me adjust and learn about all the amazing food to try while I'm here! B was a really wonderful tour guide, very kind and knowledgeable.","June 7, 2019",5.0,katie53026,Pennsylvania,8,Solo,Hanoi Street Food Tour with local delicacies
A must do in Hanoi,"The walking street food tour was honestly one of the highlights of our entire Vietnam trip. Our tour guides name was Derek, he was so nice and so informative, not just about the food but about all Vietnamese culture and the history of the food.
              

              The food itself was gorgeous, come hungry as there’s an abundance of food! A big highlight for us was that we got to try the original egg coffee in Giang Cafe.","June 5, 2019",5.0,Mark,,12,,Hanoi Street Food Tour with local delicacies
Street food tour,We did an evening street food tour with Sunflower. She was an amazing host and guide. We learnt so much from her and she made us feel very confident about all of the different food we sampled,"June 5, 2019",5.0,Judith T,"Christchurch, New Zealand",2,Couples,
"Amazing food, excellent Tour Guide - Luke","We arrived back in Hanoi after 2 days in HaLong Bay.
              
              Luke met us at the hotel and we started the tour. Luke made sure to ask our individual dietary requirements and took these into account to create the best tour for our group.
              
              The food we had was incredible. My partner and I thoroughly enjoyed every dish.
              
              We definitely recommend this tour for any visitor to Hanoi. Luke was good fun, knowledgeable and his level of English is exceptional.
              
              Great tour, easy 5 stars!","June 4, 2019",5.0,Paul B,"Perth, Australia",10,,Hanoi Street Food Tour with local delicacies
Great Street food tour Hanoi with guide Luke,"We had a great street food tour in Hanoi. Our guide Luke took as to some great places with fantastic food which we would not have found without him!
              
              Luke spoke English really well and told us alot about the food, Hanoi and Vietnam in general. One of the best experiences in our 3 weeks travel in Vietnam.","June 3, 2019",5.0,Jeanpaul v,,2,Friends,
Hanoi Food Tour with Luke and Chris,"Incredible food tour throughout Hanoi. We were taken to local hit spots. All stops were incredible and rightfully selected.
              

              Learned so much about perspective, culture and history from the lens of Chris and Luke. Recommend these two to all travelers looking to learn about food and the Vietnamese history. As very educated, experienced, and fun tour guides, my traveling partner and I received an unforgettable experience. Not only did we learn about Hanoi, it’s amazing food, and history, but we unexpectedly gained two new friends that we hope to keep in touch with going forward.
              

              Highly recommend this tour and highly recommend Luke and Chris as it’s guides.
              

              (Recommend especially to younger travelers with limited time in Hanoi)","May 31, 2019",5.0,Spencer C,,2,Couples,Hanoi Sightseeing And Food Tour By Scooter
Night Food tour with Luke Tran,Recently did a Friday food tour with Luke Tran in Hanoi the old quarter side.  Home made authetic food quick and delicious.  Luke added in hertiage and history on our walk of Hanoi street food.  Much better walking in and out of the streets of Hanoi than driving.  Definitely a must do!,"May 31, 2019",5.0,candayoung,"Napier, New Zealand",1,Solo,Hanoi Street Food Tour with local delicacies
Ha Noi Food Tour,"We throughly enjoyed our experience on the food tour with our guide B.  He was polite, friendly and informative not only on the food we were eating but on the culture of Ha Noi. We visited a variety of restaurants and sampled food that we probably would never have tried.","May 30, 2019",5.0,Leone,,7,Couples,Hanoi Street Food Tour with local delicacies
Food tour B,B was our guide. Great day. Flexible to our needs. Totally recommend simply said do it! Well worth the cost. Thanks B.,"May 29, 2019",5.0,Anthony Ali,,4,,Hanoi Street Food Tour with local delicacies
B is great!!!,"My mom, brother and I did this tour with B. He was informative, nice, and the food was delicious!! Would definitely recommend.","May 28, 2019",5.0,Kls8soccer,,2,Family,Hanoi Street Food Tour with local delicacies
Great Food & Guide!,"Kelly was a super great guide! Very engaging. She took us to many off the path restaurants we never would have found otherwise, very famous locations we had not known about (egg coffee), and was very knowledgeable about the food.
              

              Come hungry, there is lots and lots of food!","May 27, 2019",5.0,tlampet,,17,Couples,Hanoi Street Food Tour with local delicacies
Great food with a great tour guide,"We had Kelly as our tour guide, and she was great!! She showed us some great food, and she was able to answer all of our questions beyond the places she took us. She was friendly, professional, funny, and charismatic; and I am so glad that she was the one walking us around Hanoi!","May 27, 2019",5.0,Ellie Phipps,,1,Couples,Hanoi Street Food Tour with local delicacies
So so yummy w great stories,"Walk around and eat eat eat while learning what’s up with each dish.  Our guide B was exactly what you want in a guide - friendly,  funny, easy to talk to, and an absolute goldmine of info.  Wandering around by yourself can be fun but having a guide like B on a tour like this deepens the experience 100 x.  Highly recommend.","May 26, 2019",5.0,ann h,"Belfast, ME",11,,
Great tour!,"Our guide, B, was really Nice en good! The food was amazing and i recommend it to everyone who visits Hanoi!","May 26, 2019",5.0,Evi de Galan,,1,Couples,Hanoi Street Food Tour with local delicacies
Great tour!,"We really enjoyed B's tour, he was very knowledgeable and the food was really good! He even emailed us the places after so we can visit them again. Highly recommend this tour for getting familiar with the old quarter and street food options.","May 24, 2019",5.0,emcatb,,3,Couples,Hanoi Street Food Tour with local delicacies
Good for dietary requirements,"As a coeliac trying street food has been difficult as the language barrier made it risky. The first thing our guide, Luke, did was ask for dietary requirements and any food preferences or things we wanted to try. So it was so easy and i didn't miss out on anything.
              
              It was a lot of walking around the old town to parts of town you may not find on your own. Wear walking shoes.
              
              The pho and rolled steam pancakes were my highlights but it was all delicious. Try it all. We all left full and satisfied.
              

              Luke gave us a great explanation of the history of the food we were eating as well as some history of Hanoi. He was a great guide - enthusiastic, inclusive, attentive and obviously loved the food and the city he was sharing with us.
              
              His English was excellent and I appreciated as i was on my own he made sure i could find my hotel very easily.
              

              Highly recommend it. And they send you a list of all the foods you tried and the places you went with further recommendations which makes it even better value for money.","May 24, 2019",5.0,Amanda H,"Melbourne, Australia",6,Friends,Hanoi Street Food Tour with local delicacies
Yummy and Fun!,Had a wonderful time on the tour and left feeling super stuffed. B was great and would have kept going but we just couldnt handle all the food! I definitely wouldnt have known all the good stuff to try without him! Thanks!,"May 24, 2019",5.0,Kathleen M,,2,Solo,Hanoi Street Food Tour with local delicacies
Must do in Hanoi!,"We had such a great time on our food tour with B.
              
              Not only was the food delicious but we learned a lot too about the food and history of Vietnam. Thank you B!!!","May 24, 2019",5.0,Nadia,,1,Friends,Hanoi Street Food Tour with local delicacies
Great tour with a friendly guide.,"My husband and I did a private street food tour with our guide Luke. The food was fabulous the experience was wonderful and we’ve already recommended it to others we have met along our travels.
              
              I would highly recommend this tour. It’s a great way to try authentic food from the best places in Hanoi.
              
              Luke was very informative and friendly and we thoroughly enjoyed a night.","May 23, 2019",5.0,WilmaFalcone,Florence.,18,Family,Hanoi Street Food Tour with local delicacies
Hanoi Food Tasting Tour,Had an amazing tome with Luke. He definitely knew his way around Hanoi. We learned so much and ate such amazing food. Recommend 100%!,"May 23, 2019",5.0,Fabiola,,1,Friends,Hanoi Street Food Tour with local delicacies
Hanoi Food Tour with B,"we had a great time with B on the Hanoi Food Tour! he showed us so many great local spots to eat and shared some Vietnamese culture with us. we would recommend to anyone looking to eat local, amazing cuisine in Hanoi. Thanks B!!","May 23, 2019",5.0,Julia B,"Boston, MA",2,Friends,Hanoi Street Food Tour with local delicacies
A Must Do Experience,"We did the Street Food tour with ""B"" our first night in Hanoi.  It is truely a great way to learn about several dishes in this country and to taste them at some unique locations.  ""B"" made sure we learned how to eat like a local and what customary things one should do.  The food on the tour was all delicious and if there was one fault, it was that there was too much so make sure you go hungry!  ""B"" sent us a follow up email so we knew what we had ate and where to find it again if we wished.  He also gave us some more restaurant recommendations.  It's a great evening of fun, food and laughter.","May 23, 2019",5.0,Kimmer8484,"Ontario, Canada",16,Couples,Hanoi Street Food Tour with local delicacies
Great foodie experience,"We opted for the private tour which worked well as was raining so easier to get in and out of places with umbrellas and just the two us plus our guide (Miss Linh nickname Fish).
              

              Guide was fantastic and knowledgeable about Hanoi history.
              

              If we had tried a dish already, it was swapped out for something else.
              

              Pace yourself as so much food! Loved it","May 22, 2019",5.0,BridgeoCoop,"Auckland Central, New Zealand",10,,Hanoi Street Food Tour with local delicacies
Street food tour with Derek,"We had a really nice evening with Derek and the group and discovered 7 amazimg places that we haven't tried by ourselves. Highly recomended, one of best experience in Hanoi.","May 22, 2019",5.0,Maria L,,3,Couples,
Food tour with Jenny,"Do this tour if you want to try some local street food and don’t know where to start or what to get, Jenny is awesome and made sure everyone was stuffed beyond belief","May 22, 2019",5.0,Vasilios F,,2,Solo,
Food tour,"We had a fantastic time with our tour guide Luke.
              
              Luke met us at our hotel and asked our food preferences before taking us on an interesting and delicious tour of Hanoi.
              
              We can’t speak highly enough of Luke. We found him to be very polite and proud of his city. We learnt about the culture and history as we also discovered foods that were new to us.
              
              We had great fun in Hanoi and spending time with Luke was one of many highlights. Thank you so much for guiding us through your city and all the best for the future mate.","May 22, 2019",5.0,Terry H,,1,Family,Hanoi Street Food Tour with local delicacies
Fantastic food tour of Hanoi,"We highly recommend this walking food tour of Hanoi. We booked the day before our arrival in Hanoi after deciding it would be a good idea to have someone guide us around on our first night in Vietnam. We were met by Luke at our hotel and traveled a short distance to the Old Quarter. Luke was a great host and quickly introduced us to crossing Hanoi streets (not quite as difficult as it first appears) and eating delicious street food in local establishments that I think it’s fair to say we would never have had the confidence to find or try otherwise. Luke also introduced us to a lot of the history of Vietnam and Hanoi in particular. He also had an obvious love for street food and his enthusiasm rubbed off on us quickly. The tour lasted about 3 hours and was extremely good value for money. We would highly recommend it. In fact, we enjoyed this tour so much that we just completed a similar tour in Saigon (although this time on motorbikes). It may seem daunting from the outside looking in, but just jump in and embrace the food and culture. You won’t regret it! And remember to ask for Luke.","May 21, 2019",5.0,Infinity_stx,,2,Couples,Hanoi Street Food Tour with local delicacies
Fun rainy night,Our guide Luke was very knowledgeable and the food were delicious. He took us to places that we never would have tried ourselves. It was raining that night but it was worth it. Make sure you’re hungry as there was a lot of it!,"May 21, 2019",5.0,Glaiza and Warren,"Dubai, United Arab Emirates",4,Couples,Hanoi Street Food Tour with local delicacies
"Amazing tour, worth the money, happy bellies!","Derek gave us a fantastic tour. He had fantastic English speaking skills and answered all of our questions with added commentary on the foods we were eating, places to go, historical background of the food. It was a pleasure going around the old quarter with him and definitely worth the money.
              

              We tried:
              
              Steamed rice pancakes with pork
              
              Fried spring rolls
              
              Bahn mi
              
              Bun cha
              
              Papaya salad + Vietnamese dumplings
              
              Famous egg coffee
              
              Sticky rice with coconut ice cream
              

              We went to great places we wouldn't have know about otherwise.
              

              Really nice dude. Thanks Derek!","May 20, 2019",5.0,James F,,27,,Hanoi Street Food Tour with local delicacies
Food tour,"Great tour with B. Vibrant, insightful and was prepared to answer more than just food questions. Made us feel comfortable and a great introduction to Hanoi dishes. Highly recommend.","May 18, 2019",5.0,lawrenceb,"Durban, South Africa",2,,Hanoi Street Food Tour with local delicacies
Awesome taste of Hanoi,"We were lucky enough to spend approximately 3 hours touring the streets of Hanoi with our young, enthusiastic guide Luke.
              

              Luke was knowledgeable of the food and history of the region and very friendly and accommodating. We tried 3 main courses at which point we were full, so Luke adjusted the tour and we finished with a delicious dessert and a Egg Rum, which was amazing.
              

              By the time we had reached the hotel, Luke had already sent us a list of further recommendations and other great places to check out
              

              5 stars no doubt. Thank you.","May 16, 2019",5.0,gsmock1967,"Singapore, Singapore",32,,Hanoi Street Food Tour with local delicacies
Great tour,"Great private tour with Anh Duy/Derek. Covered not just food but history, local politics, culture. He also sent list of dishes and similar restaurants afterward. Highly recommend.","May 16, 2019",5.0,Jake,,2,Solo,Hanoi Street Food Tour with local delicacies
Fabulous Food Tour,"We did this walking food tour on our first evening in Hanoi and it set us up nicely for the rest of our time in the city. We learned about the different dishes and foods, and where to find the best places to eat.  Luke, our tour guide, was very knowledgeable and friendly and took us to places that we never would have tried ourselves - not in a million years.  And after the tour was finished he even sent us an email with the details of all the places we'd visited so that we could go back if we wanted, and he gave us recommendation for other places to eat things to do, he was really helpful. I would definitely recommend this for anyone who is spending some time in Vietnam and is unfamiliar with the local foods and restaurants, it's a great orientation course.  We made many stops and ate loads of food, so much that we couldn't finish the food at the last couple of stops.  We booked a group tour but on the night of our booking it was only me and my husband so it ended up being a private tour, which was great because Luke could adjust it for our tastes.","May 16, 2019",5.0,GuruGirl,"Northampton, UK",23,Couples,Hanoi Street Food Tour with local delicacies
Great food tour with Derek,"This walking food tour was booked by our hotel (Golden Sun Suites) and Derek arrived to meet us at 6pm.  We enjoyed every minute of it. We found it was a great way to experience Vietnamese street food which we may otherwise have avoided.  Interesting to learn a little bit of local knowledge of the area as well from Derek.  We stopped at 7 different places along the way.  We were interested to find out that chicken rice noodle that we thought was usually served as a soup, was just as delicious served with soy sauce.  We finished off the evening with a traditional egg coffee. Delicious. Derek was a great tour guide, and we appreciated his knowledge and also help with pronunciation of some words such as ngon meaning delicious or tasty 😜 thanks Derek.","May 15, 2019",5.0,ellirane,,4,Couples,
Jennie was awesome!,"We had a great time exploring great food with the help of Jennie! Without her help, we would have never found these gems! The dry chicken noodle dish was amazing and perfectly spicy. It came with a big beer too! Thank you!","May 15, 2019",5.0,Dan F,"Ho Chi Minh City, Vietnam",19,,Hanoi Street Food Tour with local delicacies
Must do,"Ted was fantastic and shared with us the best of where locals eat.  Beyond just the food, she is quick to share aspects of Vietnamese culture that you can't get from guidebooks.  Delicious food and great company!","May 14, 2019",5.0,Michael P,"Washington DC, DC",61,Couples,
Hanoi Tasting Tour,"What an amazing food tour ....added to it Luke our guide was full of knowledge, very friendly and giving us a real look into street life. I would certainly recommend this tour and Luke","May 14, 2019",5.0,srini,"Chennai (Madras), India",2,Solo,Hanoi Street Food Tour with local delicacies
Just do it,"What an amazing tour, Hanoi Street food. B our tour guide was full of knowledge about the food and the history of Hanoi and he speaks excellent English.
              
              So it was history and food tour in one...
              
              The kicker is the egg coffee, you go to this little cafe were it was invented and I had second thoughts about drinking a coffee with egg in it but wow, best coffee I have ever tasted","May 13, 2019",5.0,MARK Q,"Nhulunbuy, Australia",21,,Hanoi Street Food Tour with local delicacies
Street food tour with B,Cannot rate this high enough. B was fantastic and not only had us tasting delicious food but giving us a real look into the life of the locals.,"May 12, 2019",5.0,Carolyn C,,97,Family,Hanoi Street Food Tour with local delicacies
Review,"Excellent guide: Ngoc Anh Pham.
              
              Very well organized.
              
              Guide spoke good english.
              
              Knew subject
              
              Would recommend it","May 12, 2019",5.0,Chun P,,3,Solo,Hanoi Street Food Tour with local delicacies
Fabulous foodie tour with B,"What a fantastic evening we spent with B yesterday! Without question this is absolutely the best way to experience many different dishes in a relatively short time. We only had a short time in Hanoi and wanted to make the most of this amazing city.
              
              Not only did we get the opportunity to eat typical Vietnamese cuisine but because B is a Hanoian, he took us to the best places ~ where the locals themselves eat.
              
              We also enjoyed learning about the country’s history of which B was extremely knowledgeable.
              
              10 out of 10 for a great evening, cannot recommend highly enough!
              
              Aly & Martyn👍😃😋","May 9, 2019",5.0,holmesey123,"Greater London, UK",8,,Hanoi Street Food Tour with local delicacies
Ha food tour,"Had a great food tour with Derek around Hanoi Old Quarter last night. The food was excellent and his knowledge was brilliant. We were introduced to some magnificent dishes that we would never have tried otherwise.
              

              Cheers Vivienne & Jamie","May 9, 2019",5.0,Aussies abroad,Collie WA,12,Couples,Hanoi Street Food Tour with local delicacies
Fabulous food and company,"Thank you Derek for a wonderful evening. The food was amazing, your knowledge and explanations were great appreciated. We have even been back back to some of the places we visited.
              
              Fabulous food tour, well worth it!","May 8, 2019",5.0,Lisa R,,2,,
Street Food Tour with Derek,"We had a wonderful tour led by Derek who was funny, passionate, and knowledgeable about Vietnamese cuisine, culture, and history. It was a nicely paced tour between food and walking, with 7 great stops including savory and sweet dishes. We had such a good time, learned a lot, and would definitely recommend this tour!","May 8, 2019",5.0,LouBeans,,27,,Hanoi Street Food Tour with local delicacies
Awesome experience for first day in Vietnam,"A great way to experience Vietnamese street food. Derek our guide was great, knowledgeable and funny. He took us to places we would not have found on our own and all the food was delicious! He followed up with an email that gave recommendations of places to try ourselves. Great value for money . Highly recommend this tour and guide .","May 7, 2019",5.0,countrykids-2,"Christchurch, New Zealand",27,Couples,
Great tour,"No regrets booking this street food tour.
              
              Best way to kickoff your visit to Hanoi.
              
              Our guide Trang was amazing and did an excellent job catering to our dietary restrictions.
              
              Its a public tour but perfect size to socialize and enjoy good food.
              
              Tried multiple dishes from many different vendors scattered around the Old Quarter, many of which I would have never stumbled on.
              
              Highlight was the amazing dessert, which I had to go back for the following day.
              
              You definitely get your moneys worth.","May 7, 2019",5.0,Ali B,"Kuwait City, Kuwait",75,,Hanoi Street Food Tour with local delicacies
